Pfad und Name	Grösse KiB

MOHF PS2\
MOHF PS2\MOH2UK.ELF	2.278,25
MOHF PS2\SLES_506.84	137,71
MOHF PS2\SYSTEM.CNF	0,05

MOHF PS2\DATA\
MOHF PS2\DATA\BINUM.BUM	1,53
MOHF PS2\DATA\CHARS.BUM	25,30
MOHF PS2\DATA\DDAY.BMP	384,05
MOHF PS2\DATA\DEFEAT.BMP	384,05
MOHF PS2\DATA\FINAL.BMP	384,05
MOHF PS2\DATA\LANGFONT.SFN	33,71
MOHF PS2\DATA\LANGLOGO.SSH	125,77
MOHF PS2\DATA\LANGSELX.SSH	4,14
MOHF PS2\DATA\OBJFONT.SFN	21,88
MOHF PS2\DATA\RETURN.BMP	384,05
MOHF PS2\DATA\START.BMP	384,05
MOHF PS2\DATA\STARTUK.BMP	384,05
MOHF PS2\DATA\VICT1_4.BMP	384,05
MOHF PS2\DATA\VICT2_3.BMP	384,05
MOHF PS2\DATA\VICT3_3.BMP	384,05
MOHF PS2\DATA\VICT4_3.BMP	384,05
MOHF PS2\DATA\VICT5_4.BMP	384,05
MOHF PS2\DATA\VICT6_2.BMP	384,05
MOHF PS2\DATA\VICTORY.BMP	384,05

MOHF PS2\DATA\1\

MOHF PS2\DATA\1\1_1\
MOHF PS2\DATA\1\1_1\11GUNBNK.ABK	404,41
MOHF PS2\DATA\1\1_1\11IMPBNK.ABK	354,58
MOHF PS2\DATA\1\1_1\11LOAD1.ABK	414,86
MOHF PS2\DATA\1\1_1\11LOAD2.ABK	426,86
MOHF PS2\DATA\1\1_1\11LOAD3.ABK	422,69
MOHF PS2\DATA\1\1_1\11LOAD4.ABK	432,30
MOHF PS2\DATA\1\1_1\11LOAD5.ABK	434,33
MOHF PS2\DATA\1\1_1\11LOAD6.ABK	402,30
MOHF PS2\DATA\1\1_1\11LOAD7.ABK	431,45
MOHF PS2\DATA\1\1_1\11LOAD8.ABK	431,02
MOHF PS2\DATA\1\1_1\11LOAD9.ABK	435,11
MOHF PS2\DATA\1\1_1\11MOVBNK.ABK	259,80
MOHF PS2\DATA\1\1_1\11SCRBNK.ABK	1.637,00
MOHF PS2\DATA\1\1_1\11STRBNK.ABK	1,80
MOHF PS2\DATA\1\1_1\11STRBNK.AST	14.669,50
MOHF PS2\DATA\1\1_1\11VEHBNK.ABK	109,94
MOHF PS2\DATA\1\1_1\11VOCBNK.ABK	4,48
MOHF PS2\DATA\1\1_1\COMP.VIV	9.902,57
MOHF PS2\DATA\1\1_1\LEVEL.VIV	13.943,05
MOHF PS2\DATA\1\1_1\MAIN.MUS	4.489,63

